Date,lat,lon,Primary Type
2014-07-12 01:48:00,41.780581021,-87.68841267,HOMICIDE
2014-07-11 20:13:00,41.877446935,-87.7556974,HOMICIDE
2014-07-08 22:11:00,41.897421503,-87.72111164,HOMICIDE
2014-07-08 22:07:00,41.725408362,-87.63470808,HOMICIDE
2014-07-07 20:27:00,41.748406325,-87.55132806,HOMICIDE
2014-07-07 20:11:00,41.768278953,-87.6783342,HOMICIDE
2014-07-07 12:37:00,41.848402482,-87.69320798,HOMICIDE
2014-07-07 05:54:00,41.717952544,-87.64662714,HOMICIDE
2014-07-07 03:33:00,41.742149076,-87.54406824,HOMICIDE
2014-07-07 01:15:00,41.694621953,-87.65476228,HOMICIDE
2014-07-06 21:54:00,41.683495639,-87.63222928,HOMICIDE
2014-07-06 18:11:00,41.887160965,-87.75666761,HOMICIDE
2014-07-06 01:05:00,41.961842134,-87.66218524,HOMICIDE
2014-07-06 00:47:00,41.779194489,-87.67475116,HOMICIDE
2014-07-06 00:07:00,41.703648763,-87.63563214,HOMICIDE
2014-07-05 20:09:00,41.775259843,-87.67486840,HOMICIDE
2014-07-05 11:38:00,41.73605449,-87.5501589,HOMICIDE
2014-07-04 03:02:00,41.779194489,-87.67475116,HOMICIDE
2014-07-03 16:17:00,41.879688586,-87.72273140,HOMICIDE
2014-07-02 18:52:00,41.904029177,-87.73140769,HOMICIDE
2014-07-02 06:26:00,41.902692189,-87.70970685,HOMICIDE
2014-07-02 02:35:00,41.763881746,-87.6724372,HOMICIDE
2014-06-30 23:08:00,41.803241295,-87.60887521,HOMICIDE
2014-06-28 09:56:00,41.895557034,-87.71782009,HOMICIDE
2014-06-27 23:16:00,41.782968361,-87.69822975,HOMICIDE
2014-06-27 21:42:00,41.768644029,-87.66547848,HOMICIDE
2014-06-26 15:52:00,41.883500959,-87.75410421,HOMICIDE
2014-06-26 00:14:00,41.894116383,-87.65360234,HOMICIDE
2014-06-25 23:07:00,41.775723003,-87.64847486,HOMICIDE
2014-06-23 05:13:00,41.910630338,-87.7475730,HOMICIDE
2014-06-22 19:21:00,41.793084444,-87.58191897,HOMICIDE
2014-06-22 03:05:00,41.762673884,-87.62985421,HOMICIDE
2014-06-22 00:57:00,41.691060832,-87.63885467,HOMICIDE
2014-06-21 22:35:00,41.696085893,-87.62583855,HOMICIDE
2014-06-21 17:55:00,41.689648473,-87.67014781,HOMICIDE
2014-06-19 16:52:00,41.764392307,-87.69527532,HOMICIDE
2014-06-17 16:48:00,41.881958176,-87.72481764,HOMICIDE
2014-06-17 00:00:00,41.718800734,-87.64299551,HOMICIDE
2014-06-15 22:02:00,41.703843451,-87.64745843,HOMICIDE
2014-06-15 00:04:00,41.870866372,-87.70402430,HOMICIDE
2014-06-14 00:22:00,41.864194301,-87.71550344,HOMICIDE
2014-06-12 21:43:00,41.898317914,-87.77026071,HOMICIDE
2014-06-10 18:37:00,41.76371356,-87.63023505,HOMICIDE
2014-06-09 23:29:00,41.760333817,-87.62819742,HOMICIDE
2014-06-09 08:55:00,41.748648201,-87.71077856,HOMICIDE
2014-06-09 08:55:00,41.748648201,-87.71077856,HOMICIDE
2014-06-07 21:25:00,41.876776175,-87.741988,HOMICIDE
2014-06-07 01:50:00,41.792236116,-87.62416980,HOMICIDE
2014-06-06 23:25:00,41.882612553,-87.73077882,HOMICIDE
2014-06-06 14:26:00,42.019322667,-87.67845435,HOMICIDE
2014-06-05 19:04:00,41.766668152,-87.64915767,HOMICIDE
2014-06-04 16:58:00,41.883199044,-87.74867931,HOMICIDE
2014-06-03 13:29:00,41.866989773,-87.72354614,HOMICIDE
2014-06-02 21:55:00,41.835721103,-87.65030519,HOMICIDE
2014-06-01 22:21:00,41.780266655,-87.6960089,HOMICIDE
2014-06-01 21:32:00,41.719240363,-87.56770698,HOMICIDE
2014-06-01 01:35:00,41.744425787,-87.56046392,HOMICIDE
2014-06-01 01:19:00,41.889618176,-87.75036529,HOMICIDE
2014-05-31 23:08:00,41.951452405,-87.71544086,HOMICIDE
2014-05-31 15:19:00,41.736732745,-87.60660777,HOMICIDE
2014-05-30 18:28:00,41.816889826,-87.63342124,HOMICIDE
2014-05-29 18:12:00,41.751077111,-87.60658892,HOMICIDE
2014-05-29 18:09:00,41.789826208,-87.62900738,HOMICIDE
2014-05-29 13:03:00,41.760716498,-87.56463746,HOMICIDE
2014-05-29 09:30:00,41.860577231,-87.71905873,HOMICIDE
2014-05-27 23:02:00,41.748427369,-87.68087040,HOMICIDE
2014-05-26 15:18:00,41.887133815,-87.75617941,HOMICIDE
2014-05-26 07:18:00,41.870019279,-87.69820224,HOMICIDE
2014-05-26 00:57:00,41.901155197,-87.76242634,HOMICIDE
2014-05-25 20:01:00,41.883693841,-87.70920858,HOMICIDE
2014-05-24 20:06:00,41.964348498,-87.65394101,HOMICIDE
2014-05-24 16:44:00,41.768672796,-87.64341051,HOMICIDE
2014-05-23 00:27:00,41.823113377,-87.62173428,HOMICIDE
2014-05-22 22:42:00,41.776724389,-87.69562604,HOMICIDE
2014-05-22 21:47:00,41.698801684,-87.61856584,HOMICIDE
2014-05-22 01:54:00,41.904232706,-87.72162698,HOMICIDE
2014-05-21 17:42:00,41.894888986,-87.72376933,HOMICIDE
2014-05-20 03:45:00,41.87085127,-87.72360857,HOMICIDE
2014-05-19 22:43:00,41.868522969,-87.68774246,HOMICIDE
2014-05-19 17:04:00,41.740149334,-87.70227565,HOMICIDE
2014-05-18 20:29:00,41.94151903,-87.78875878,HOMICIDE
2014-05-18 18:11:00,41.809716008,-87.60642169,HOMICIDE
2014-05-17 23:55:00,41.880787017,-87.71262992,HOMICIDE
2014-05-17 16:26:00,41.88538392,-87.76351058,HOMICIDE
2014-05-16 05:12:00,41.91054284,-87.75467172,HOMICIDE
2014-05-14 00:42:00,41.904469742,-87.69213762,HOMICIDE
2014-05-11 16:30:00,41.683517366,-87.63039494,HOMICIDE
2014-05-10 14:15:00,41.87803399,-87.73003603,HOMICIDE
2014-05-10 03:24:00,41.840406526,-87.72829413,HOMICIDE
2014-05-09 20:38:00,41.686570913,-87.64934797,HOMICIDE
2014-05-09 12:20:00,41.72579407,-87.58482828,HOMICIDE
2014-05-06 21:58:00,41.750591127,-87.63441676,HOMICIDE
2014-05-06 16:29:00,41.860617989,-87.71540204,HOMICIDE
2014-05-05 20:12:00,41.787156456,-87.64998124,HOMICIDE
2014-05-04 11:36:00,41.725364395,-87.64195815,HOMICIDE
2014-05-04 07:15:00,41.747784668,-87.60065286,HOMICIDE
2014-05-04 03:15:00,41.888086759,-87.75304916,HOMICIDE
2014-05-03 07:10:00,41.833070748,-87.67197916,HOMICIDE
2014-05-01 02:22:00,41.748380445,-87.60501059,HOMICIDE
2014-04-30 19:36:00,41.768468911,-87.68960805,HOMICIDE
2014-04-29 08:48:00,41.986812341,-87.67271860,HOMICIDE
2014-04-28 17:10:00,41.794358568,-87.64924465,HOMICIDE
2014-04-28 04:31:00,41.925273945,-87.6671068,HOMICIDE
2014-04-28 02:51:00,41.884543799,-87.72803579,HOMICIDE
2014-04-27 05:24:00,41.844306091,-87.72880789,HOMICIDE
2014-04-27 00:47:00,41.924714504,-87.71679396,HOMICIDE
2014-04-26 02:35:00,41.909498731,-87.76485018,HOMICIDE
2014-04-26 02:23:00,41.879894581,-87.76500248,HOMICIDE
2014-04-26 01:17:00,41.795403068,-87.67297899,HOMICIDE
2014-04-26 00:32:00,41.682958162,-87.65656151,HOMICIDE
2014-04-24 20:31:00,41.859180356,-87.71292334,HOMICIDE
2014-04-24 18:50:00,41.743187246,-87.64812817,HOMICIDE
2014-04-23 06:18:00,41.752160356,-87.60171353,HOMICIDE
2014-04-20 13:01:00,41.841238098,-87.70630376,HOMICIDE
2014-04-20 13:01:00,41.841238098,-87.70630376,HOMICIDE
2014-04-20 05:08:00,41.795684097,-87.77230416,HOMICIDE
2014-04-19 10:38:00,41.746007704,-87.55050702,HOMICIDE
2014-04-19 10:38:00,41.746007704,-87.55050702,HOMICIDE
2014-04-19 10:04:00,41.87294271,-87.70033592,HOMICIDE
2014-04-19 08:49:00,41.931026184,-87.72191863,HOMICIDE
2014-04-19 02:31:00,41.889470762,-87.66724766,HOMICIDE
2014-04-19 00:05:00,41.874032383,-87.75664978,HOMICIDE
2014-04-15 03:07:00,42.021041933,-87.67057215,HOMICIDE
2014-04-14 00:00:00,41.744726045,-87.73865467,HOMICIDE
2014-04-13 03:40:00,41.785431106,-87.62075412,HOMICIDE
2014-04-13 01:26:00,41.796427598,-87.69994521,HOMICIDE
2014-04-11 21:26:00,41.757908935,-87.55726745,HOMICIDE
2014-04-11 17:43:00,41.777031794,-87.61298678,HOMICIDE
2014-04-11 09:51:00,41.778563649,-87.69474257,HOMICIDE
2014-04-09 22:29:00,41.79214764,-87.6558908,HOMICIDE
2014-04-07 20:26:00,42.019493591,-87.67284413,HOMICIDE
2014-04-06 19:35:00,41.76375749,-87.65908164,HOMICIDE
2014-04-05 20:07:00,41.725908108,-87.59824192,HOMICIDE
2014-04-05 03:04:00,41.878642594,-87.73516378,HOMICIDE
2014-04-03 07:20:00,41.766802972,-87.62744111,HOMICIDE
2014-04-01 07:05:00,41.779125102,-87.68523022,HOMICIDE
2014-03-31 22:10:00,41.68820884,-87.61552719,HOMICIDE
2014-03-31 18:05:00,41.742569324,-87.56353849,HOMICIDE
2014-03-28 13:27:00,41.802003918,-87.61503975,HOMICIDE
2014-03-24 03:22:00,41.686200887,-87.53179970,HOMICIDE
2014-03-21 19:23:00,41.877085884,-87.73449899,HOMICIDE
2014-03-21 19:17:00,41.753210171,-87.5786094,HOMICIDE
2014-03-21 14:06:00,41.766753788,-87.65480548,HOMICIDE
2014-03-20 00:04:00,41.897872967,-87.71624780,HOMICIDE
2014-03-19 15:45:00,41.894658387,-87.71248461,HOMICIDE
2014-03-18 20:49:00,41.891103377,-87.70871777,HOMICIDE
2014-03-18 09:30:00,41.875674806,-87.75256294,HOMICIDE
2014-03-15 23:18:00,41.771250778,-87.67588819,HOMICIDE
2014-03-15 14:00:00,41.82964147,-87.61459877,HOMICIDE
2014-03-14 12:54:00,41.875365012,-87.72661329,HOMICIDE
2014-03-11 21:29:00,41.915831764,-87.6918071,HOMICIDE
2014-03-10 20:04:00,41.759077,-87.56816460,HOMICIDE
2014-03-09 13:06:00,41.884705064,-87.71097249,HOMICIDE
2014-03-07 16:49:00,41.7332935,-87.65219747,HOMICIDE
2014-03-04 13:30:00,41.801427246,-87.58489128,HOMICIDE
2014-03-02 02:40:00,41.747017946,-87.65500600,HOMICIDE
2014-03-02 00:20:00,41.681657503,-87.6332230,HOMICIDE
2014-03-01 14:22:00,41.790118648,-87.68133520,HOMICIDE
2014-03-01 13:32:00,41.810497304,-87.66881474,HOMICIDE
2014-02-28 13:08:00,41.705486466,-87.62115417,HOMICIDE
2014-02-28 11:02:00,41.747877747,-87.64774849,HOMICIDE
2014-02-28 00:36:00,41.795152016,-87.66233191,HOMICIDE
2014-02-27 16:21:00,41.869284895,-87.72268723,HOMICIDE
2014-02-22 22:08:00,41.884788106,-87.75630335,HOMICIDE
2014-02-22 05:45:00,41.826490905,-87.63368724,HOMICIDE
2014-02-21 15:00:00,41.892581129,-87.7114947,HOMICIDE
2014-02-21 06:41:00,41.742259973,-87.54863982,HOMICIDE
2014-02-20 22:41:00,41.87988253,-87.77316196,HOMICIDE
2014-02-15 16:38:00,41.769281362,-87.58457223,HOMICIDE
2014-02-14 10:10:00,41.781529511,-87.64748547,HOMICIDE
2014-02-13 21:00:00,41.886179981,-87.76521854,HOMICIDE
2014-02-12 20:11:00,41.782874563,-87.61432933,HOMICIDE
2014-02-09 16:14:00,41.864170907,-87.65960994,HOMICIDE
2014-02-09 05:30:00,41.879491848,-87.73911067,HOMICIDE
2014-02-07 13:52:00,41.812133112,-87.68761940,HOMICIDE
2014-02-06 03:15:00,41.745612953,-87.6643833,HOMICIDE
2014-02-05 16:33:00,42.004709066,-87.67304122,HOMICIDE
2014-02-04 12:55:00,41.917486038,-87.70914397,HOMICIDE
2014-02-04 02:11:00,41.755365506,-87.63927969,HOMICIDE
2014-02-01 03:19:00,41.855810652,-87.67119066,HOMICIDE
2014-01-29 13:37:00,41.751366564,-87.60679454,HOMICIDE
2014-01-26 16:48:00,41.83879371,-87.72792767,HOMICIDE
2014-01-25 02:55:00,41.844407533,-87.72101909,HOMICIDE
2014-01-25 00:52:00,41.801446595,-87.6427473,HOMICIDE
2014-01-22 13:25:00,41.768005169,-87.65433775,HOMICIDE
2014-01-22 09:50:00,41.765451726,-87.68209085,HOMICIDE
2014-01-21 04:42:00,41.958980299,-87.75287335,HOMICIDE
2014-01-19 04:55:00,41.729189078,-87.55108858,HOMICIDE
2014-01-19 04:55:00,41.729189078,-87.55108858,HOMICIDE
2014-01-18 05:45:00,41.780869247,-87.6859862,HOMICIDE
2014-01-17 20:06:00,41.744393559,-87.63156350,HOMICIDE
2014-01-17 17:22:00,41.893238697,-87.74945456,HOMICIDE
2014-01-16 11:59:00,41.766833018,-87.64459955,HOMICIDE
2014-01-15 19:24:00,41.850035518,-87.70718316,HOMICIDE
