in,Zipcode,date,close
259,60604,2014-08-31 00:00:00,523165.8
260,60604,2014-09-30 00:00:00,550400.5
261,60604,2014-10-31 00:00:00,564546.0
262,60604,2014-11-30 00:00:00,552733.2
263,60604,2014-12-31 00:00:00,578400.0
264,60605,2009-07-31 00:00:00,510984.0
265,60605,2009-08-31 00:00:00,511497.0
266,60605,2009-09-30 00:00:00,509355.75
267,60605,2009-10-31 00:00:00,507496.0
268,60605,2009-11-30 00:00:00,508064.0
269,60605,2009-12-31 00:00:00,513750.25
270,60605,2010-01-31 00:00:00,523036.6
271,60605,2010-02-28 00:00:00,505612.25
272,60605,2010-03-31 00:00:00,487256.25
273,60605,2010-04-30 00:00:00,481139.75
274,60605,2010-05-31 00:00:00,478370.4
275,60605,2010-06-30 00:00:00,478105.25
276,60605,2010-07-31 00:00:00,483703.4
277,60605,2010-08-31 00:00:00,485623.5
278,60605,2010-09-30 00:00:00,487604.5
279,60605,2010-10-31 00:00:00,495185.2
280,60605,2010-11-30 00:00:00,503622.0
281,60605,2010-12-31 00:00:00,512845.0
282,60605,2011-01-31 00:00:00,535016.4
283,60605,2011-02-28 00:00:00,504629.0
284,60605,2011-03-31 00:00:00,435929.0
285,60605,2011-04-30 00:00:00,425508.4
286,60605,2011-05-31 00:00:00,418023.0
287,60605,2011-06-30 00:00:00,418604.0
288,60605,2011-07-31 00:00:00,407534.6
289,60605,2011-08-31 00:00:00,436434.25
290,60605,2011-09-30 00:00:00,451803.25
291,60605,2011-10-31 00:00:00,451105.2
292,60605,2011-11-30 00:00:00,445783.75
293,60605,2011-12-31 00:00:00,457707.6
294,60605,2012-01-31 00:00:00,469072.0
295,60605,2012-02-29 00:00:00,459681.5
296,60605,2012-03-31 00:00:00,464606.8
297,60605,2012-04-30 00:00:00,467912.25
298,60605,2012-05-31 00:00:00,482544.25
299,60605,2012-06-30 00:00:00,428809.4
300,60605,2012-07-31 00:00:00,416709.5
301,60605,2012-08-31 00:00:00,435130.25
302,60605,2012-09-30 00:00:00,434012.8
303,60605,2012-10-31 00:00:00,441064.25
304,60605,2012-11-30 00:00:00,448994.75
305,60605,2012-12-31 00:00:00,460664.6
306,60605,2013-01-31 00:00:00,467332.75
307,60605,2013-02-28 00:00:00,479479.0
308,60605,2013-03-31 00:00:00,486231.4
309,60605,2013-04-30 00:00:00,454931.5
310,60605,2013-05-31 00:00:00,454648.0
311,60605,2013-06-30 00:00:00,471899.0
312,60605,2013-07-31 00:00:00,460561.75
313,60605,2013-08-31 00:00:00,451313.0
314,60605,2013-09-30 00:00:00,452263.25
315,60605,2013-10-31 00:00:00,458214.25
316,60605,2013-11-30 00:00:00,455519.0
317,60605,2013-12-31 00:00:00,452879.5
318,60605,2014-01-31 00:00:00,456038.5
319,60605,2014-02-28 00:00:00,444317.25
320,60605,2014-03-31 00:00:00,469704.0
321,60605,2014-04-30 00:00:00,458321.75
322,60605,2014-05-31 00:00:00,453539.8
323,60605,2014-06-30 00:00:00,434146.0
324,60605,2014-07-31 00:00:00,428060.0
325,60605,2014-08-31 00:00:00,440869.0
326,60605,2014-09-30 00:00:00,424941.25
327,60605,2014-10-31 00:00:00,429362.5
328,60605,2014-11-30 00:00:00,425068.8
329,60605,2014-12-31 00:00:00,415094.75
330,60606,2009-07-31 00:00:00,420708.25
331,60606,2009-08-31 00:00:00,397812.8
332,60606,2009-09-30 00:00:00,386525.0
333,60606,2009-10-31 00:00:00,389844.8
334,60606,2009-11-30 00:00:00,365817.25
335,60606,2009-12-31 00:00:00,371897.0
336,60606,2010-01-31 00:00:00,397657.2
337,60606,2010-02-28 00:00:00,423080.0
338,60606,2010-03-31 00:00:00,429121.5
339,60606,2010-04-30 00:00:00,392300.5
340,60606,2010-05-31 00:00:00,391424.4
341,60606,2010-06-30 00:00:00,438624.0
342,60606,2010-07-31 00:00:00,440306.0
343,60606,2010-08-31 00:00:00,391154.5
344,60606,2010-09-30 00:00:00,392437.5
345,60606,2010-10-31 00:00:00,400498.8
346,60606,2010-11-30 00:00:00,385256.5
